ticker,sector,industry
SANEL,İNŞAAT VE BAYINDIRLIK,İNŞAAT VE BAYINDIRLIK
SANFM,İMALAT,İMALAT
SANKO,TOPTAN VE PERAKENDE TİCARET,TOPTAN VE PERAKENDE TİCARET
SARKY,İMALAT,İMALAT
SASA,İMALAT,İMALAT
SAYAS,İMALAT,İMALAT
SDTTR,TEKNOLOJİ,TEKNOLOJİ
SEGMN,İMALAT,İMALAT
SEGYO,MALİ KURULUŞLAR,MALİ KURULUŞLAR
SEKFK,MALİ KURULUŞLAR,MALİ KURULUŞLAR
SEKUR,İMALAT,İMALAT
SELEC,TOPTAN VE PERAKENDE TİCARET,TOPTAN VE PERAKENDE TİCARET
SELVA,İMALAT,İMALAT
SERNT,İMALAT,İMALAT
SEYKM,İMALAT,İMALAT
SILVR,İMALAT,İMALAT
SISE,MALİ KURULUŞLAR,MALİ KURULUŞLAR
SKBNK,MALİ KURULUŞLAR,MALİ KURULUŞLAR
SKTAS,İMALAT,İMALAT
SKYLP,"MESLEKİ, BİLİMSEL VE TEKNİK FAALİYETLER","MESLEKİ, BİLİMSEL VE TEKNİK FAALİYETLER"
SKYMD,MALİ KURULUŞLAR,MALİ KURULUŞLAR
SMART,TEKNOLOJİ,TEKNOLOJİ
SMRTG,ELEKTRİK GAZ VE SU,ELEKTRİK GAZ VE SU
SMRVA,MALİ KURULUŞLAR,MALİ KURULUŞLAR
SNGYO,MALİ KURULUŞLAR,MALİ KURULUŞLAR
SNICA,İMALAT,İMALAT
SNKRN,,
SNPAM,İMALAT,İMALAT
SODSN,İMALAT,İMALAT
SOKE,İMALAT,İMALAT
SOKM,TOPTAN VE PERAKENDE TİCARET,TOPTAN VE PERAKENDE TİCARET
SONME,GAYRİMENKUL FAALİYETLERİ,GAYRİMENKUL FAALİYETLERİ
SRVGY,MALİ KURULUŞLAR,MALİ KURULUŞLAR
SUMAS,İMALAT,İMALAT
SUNTK,İMALAT,İMALAT
SURGY,MALİ KURULUŞLAR,MALİ KURULUŞLAR
SUWEN,TOPTAN VE PERAKENDE TİCARET,TOPTAN VE PERAKENDE TİCARET
TABGD,OTELLER VE LOKANTALAR,OTELLER VE LOKANTALAR
TARKM,İMALAT,İMALAT
TATEN,ELEKTRİK GAZ VE SU,ELEKTRİK GAZ VE SU
TATGD,İMALAT,İMALAT
TAVHL,MALİ KURULUŞLAR,MALİ KURULUŞLAR
TBORG,İMALAT,İMALAT
TCELL,BİLGİ VE İLETİŞİM,BİLGİ VE İLETİŞİM
TCKRC,İMALAT,İMALAT
TDGYO,MALİ KURULUŞLAR,MALİ KURULUŞLAR
TEHOL,MALİ KURULUŞLAR,MALİ KURULUŞLAR
TEKTU,OTELLER VE LOKANTALAR,OTELLER VE LOKANTALAR
TERA,MALİ KURULUŞLAR,MALİ KURULUŞLAR
TEZOL,İMALAT,İMALAT
TGSAS,TOPTAN VE PERAKENDE TİCARET,TOPTAN VE PERAKENDE TİCARET
THYAO,ULAŞTIRMA VE DEPOLAMA,ULAŞTIRMA VE DEPOLAMA
TKFEN,MALİ KURULUŞLAR,MALİ KURULUŞLAR
TKNSA,TOPTAN VE PERAKENDE TİCARET,TOPTAN VE PERAKENDE TİCARET
TLMAN,ULAŞTIRMA VE DEPOLAMA,ULAŞTIRMA VE DEPOLAMA
TMPOL,İMALAT,İMALAT
TMSN,İMALAT,İMALAT
TNZTP,EĞİTİM SAĞLIK SPOR VE EĞLENCE HİZMETLERİ,EĞİTİM SAĞLIK SPOR VE EĞLENCE HİZMETLERİ
TOASO,İMALAT,İMALAT
TRALT,MADENCİLİK VE TAŞ OCAKÇILIĞI,MADENCİLİK VE TAŞ OCAKÇILIĞI
TRCAS,MALİ KURULUŞLAR,MALİ KURULUŞLAR
TRENJ,MADENCİLİK VE TAŞ OCAKÇILIĞI,MADENCİLİK VE TAŞ OCAKÇILIĞI
TRGYO,MALİ KURULUŞLAR,MALİ KURULUŞLAR
TRHOL,MALİ KURULUŞLAR,MALİ KURULUŞLAR
TRILC,İMALAT,İMALAT
TRMET,MADENCİLİK VE TAŞ OCAKÇILIĞI,MADENCİLİK VE TAŞ OCAKÇILIĞI
TSGYO,MALİ KURULUŞLAR,MALİ KURULUŞLAR
TSKB,MALİ KURULUŞLAR,MALİ KURULUŞLAR
TSPOR,EĞİTİM SAĞLIK SPOR VE EĞLENCE HİZMETLERİ,EĞİTİM SAĞLIK SPOR VE EĞLENCE HİZMETLERİ
TTKOM,BİLGİ VE İLETİŞİM,BİLGİ VE İLETİŞİM
TTRAK,İMALAT,İMALAT
TUCLK,İMALAT,İMALAT
TUKAS,İMALAT,İMALAT
TUPRS,İMALAT,İMALAT
TUREX,ULAŞTIRMA VE DEPOLAMA,ULAŞTIRMA VE DEPOLAMA
TURGG,İNŞAAT VE BAYINDIRLIK,İNŞAAT VE BAYINDIRLIK
TURSG,MALİ KURULUŞLAR,MALİ KURULUŞLAR
UCAYM,İNŞAAT VE BAYINDIRLIK,İNŞAAT VE BAYINDIRLIK
UFUK,MALİ KURULUŞLAR,MALİ KURULUŞLAR
ULAS,OTELLER VE LOKANTALAR,OTELLER VE LOKANTALAR
ULKER,İMALAT,İMALAT
ULUFA,MALİ KURULUŞLAR,MALİ KURULUŞLAR
ULUSE,İMALAT,İMALAT
ULUUN,İMALAT,İMALAT
UMPAS,MALİ KURULUŞLAR,MALİ KURULUŞLAR
UNLU,MALİ KURULUŞLAR,MALİ KURULUŞLAR
USAK,İMALAT,İMALAT
VAKBN,MALİ KURULUŞLAR,MALİ KURULUŞLAR
VAKFA,MALİ KURULUŞLAR,MALİ KURULUŞLAR
VAKFN,MALİ KURULUŞLAR,MALİ KURULUŞLAR
VAKKO,TOPTAN VE PERAKENDE TİCARET,TOPTAN VE PERAKENDE TİCARET
VANGD,İMALAT,İMALAT
VBTYZ,TEKNOLOJİ,TEKNOLOJİ
VERTU,MALİ KURULUŞLAR,MALİ KURULUŞLAR
VERUS,MALİ KURULUŞLAR,MALİ KURULUŞLAR
VESBE,İMALAT,İMALAT
VESTL,İMALAT,İMALAT
VKFYO,MALİ KURULUŞLAR,MALİ KURULUŞLAR
VKGYO,MALİ KURULUŞLAR,MALİ KURULUŞLAR
VKING,İMALAT,İMALAT
VRGYO,MALİ KURULUŞLAR,MALİ KURULUŞLAR
VSNMD,MADENCİLİK VE TAŞ OCAKÇILIĞI,MADENCİLİK VE TAŞ OCAKÇILIĞI
YAPRK,"TARIM, ORMANCILIK VE BALIKÇILIK","TARIM, ORMANCILIK VE BALIKÇILIK"
YATAS,İMALAT,İMALAT
YAYLA,İNŞAAT VE BAYINDIRLIK,İNŞAAT VE BAYINDIRLIK
YBTAS,İMALAT,İMALAT
YEOTK,"MESLEKİ, BİLİMSEL VE TEKNİK FAALİYETLER","MESLEKİ, BİLİMSEL VE TEKNİK FAALİYETLER"
YESIL,MALİ KURULUŞLAR,MALİ KURULUŞLAR
YGGYO,MALİ KURULUŞLAR,MALİ KURULUŞLAR
YGYO,MALİ KURULUŞLAR,MALİ KURULUŞLAR
YIGIT,İMALAT,İMALAT
YKBNK,MALİ KURULUŞLAR,MALİ KURULUŞLAR
YKSLN,İMALAT,İMALAT
YONGA,İMALAT,İMALAT
YUNSA,İMALAT,İMALAT
YYAPI,İNŞAAT VE BAYINDIRLIK,İNŞAAT VE BAYINDIRLIK
YYLGD,İMALAT,İMALAT
ZEDUR,ELEKTRİK GAZ VE SU,ELEKTRİK GAZ VE SU
ZERGY,MALİ KURULUŞLAR,MALİ KURULUŞLAR
ZGYO,MALİ KURULUŞLAR,MALİ KURULUŞLAR
ZOREN,ELEKTRİK GAZ VE SU,ELEKTRİK GAZ VE SU
ZRGYO,MALİ KURULUŞLAR,MALİ KURULUŞLAR
