ticker,sector,industry
AYEN,ELEKTRİK GAZ VE SU,ELEKTRİK GAZ VE SU
AYES,İMALAT,İMALAT
AYGAZ,İMALAT,İMALAT
AZTEK,TEKNOLOJİ,TEKNOLOJİ
BAGFS,İMALAT,İMALAT
BAHKM,İMALAT,İMALAT
BAKAB,İMALAT,İMALAT
BALAT,İMALAT,İMALAT
BALSU,İMALAT,İMALAT
BANVT,İMALAT,İMALAT
BARMA,İMALAT,İMALAT
BASCM,İMALAT,İMALAT
BASGZ,MALİ KURULUŞLAR,MALİ KURULUŞLAR
BAYRK,İMALAT,İMALAT
BEGYO,MALİ KURULUŞLAR,MALİ KURULUŞLAR
BERA,MALİ KURULUŞLAR,MALİ KURULUŞLAR
BESLR,İMALAT,İMALAT
BESTE,,
BEYAZ,ULAŞTIRMA VE DEPOLAMA,ULAŞTIRMA VE DEPOLAMA
BFREN,İMALAT,İMALAT
BIENY,İMALAT,İMALAT
BIGCH,OTELLER VE LOKANTALAR,OTELLER VE LOKANTALAR
BIGEN,ELEKTRİK GAZ VE SU,ELEKTRİK GAZ VE SU
BIGTK,BİLGİ VE İLETİŞİM,BİLGİ VE İLETİŞİM
BIMAS,TOPTAN VE PERAKENDE TİCARET,TOPTAN VE PERAKENDE TİCARET
BINBN,TEKNOLOJİ,TEKNOLOJİ
BINHO,MALİ KURULUŞLAR,MALİ KURULUŞLAR
BIOEN,ELEKTRİK GAZ VE SU,ELEKTRİK GAZ VE SU
BIZIM,TOPTAN VE PERAKENDE TİCARET,TOPTAN VE PERAKENDE TİCARET
BJKAS,EĞİTİM SAĞLIK SPOR VE EĞLENCE HİZMETLERİ,EĞİTİM SAĞLIK SPOR VE EĞLENCE HİZMETLERİ
BLCYT,İMALAT,İMALAT
BLUME,İMALAT,İMALAT
BMSCH,İMALAT,İMALAT
BMSTL,İMALAT,İMALAT
BNTAS,İMALAT,İMALAT
BOBET,İMALAT,İMALAT
BORLS,İDARİ VE DESTEK HİZMET FAALİYETLERİ,İDARİ VE DESTEK HİZMET FAALİYETLERİ
BORSK,İMALAT,İMALAT
BOSSA,İMALAT,İMALAT
BRISA,İMALAT,İMALAT
BRKO,,
BRKSN,İMALAT,İMALAT
BRKVY,MALİ KURULUŞLAR,MALİ KURULUŞLAR
BRLSM,İNŞAAT VE BAYINDIRLIK,İNŞAAT VE BAYINDIRLIK
BRMEN,İMALAT,İMALAT
BRSAN,İMALAT,İMALAT
BRYAT,MALİ KURULUŞLAR,MALİ KURULUŞLAR
BSOKE,İMALAT,İMALAT
BTCIM,İMALAT,İMALAT
BUCIM,İMALAT,İMALAT
BULGS,MALİ KURULUŞLAR,MALİ KURULUŞLAR
BURCE,İMALAT,İMALAT
BURVA,İMALAT,İMALAT
BVSAN,İMALAT,İMALAT
BYDNR,OTELLER VE LOKANTALAR,OTELLER VE LOKANTALAR
CANTE,ELEKTRİK GAZ VE SU,ELEKTRİK GAZ VE SU
CASA,,
CATES,ELEKTRİK GAZ VE SU,ELEKTRİK GAZ VE SU
CCOLA,İMALAT,İMALAT
CELHA,İMALAT,İMALAT
CEMAS,İMALAT,İMALAT
CEMTS,İMALAT,İMALAT
CEMZY,İMALAT,İMALAT
CEOEM,İDARİ VE DESTEK HİZMET FAALİYETLERİ,İDARİ VE DESTEK HİZMET FAALİYETLERİ
CGCAM,İMALAT,İMALAT
CIMSA,İMALAT,İMALAT
CLEBI,ULAŞTIRMA VE DEPOLAMA,ULAŞTIRMA VE DEPOLAMA
CMBTN,İMALAT,İMALAT
CMENT,İMALAT,İMALAT
CONSE,ELEKTRİK GAZ VE SU,ELEKTRİK GAZ VE SU
COSMO,MALİ KURULUŞLAR,MALİ KURULUŞLAR
CRDFA,MALİ KURULUŞLAR,MALİ KURULUŞLAR
CRFSA,TOPTAN VE PERAKENDE TİCARET,TOPTAN VE PERAKENDE TİCARET
CUSAN,İMALAT,İMALAT
CVKMD,MADENCİLİK VE TAŞ OCAKÇILIĞI,MADENCİLİK VE TAŞ OCAKÇILIĞI
CWENE,ELEKTRİK GAZ VE SU,ELEKTRİK GAZ VE SU
DAGI,İMALAT,İMALAT
DAPGM,İNŞAAT VE BAYINDIRLIK,İNŞAAT VE BAYINDIRLIK
DARDL,İMALAT,İMALAT
DCTTR,TOPTAN VE PERAKENDE TİCARET,TOPTAN VE PERAKENDE TİCARET
DENGE,MALİ KURULUŞLAR,MALİ KURULUŞLAR
DERHL,MALİ KURULUŞLAR,MALİ KURULUŞLAR
DERIM,İMALAT,İMALAT
DESA,İMALAT,İMALAT
DESPC,TEKNOLOJİ,TEKNOLOJİ
DEVA,İMALAT,İMALAT
DGATE,TEKNOLOJİ,TEKNOLOJİ
DGGYO,MALİ KURULUŞLAR,MALİ KURULUŞLAR
DGNMO,İMALAT,İMALAT
DIRIT,,
DITAS,İMALAT,İMALAT
DMLKTG,,
DMRGD,İMALAT,İMALAT
DMSAS,İMALAT,İMALAT
DNISI,İMALAT,İMALAT
DOAS,TOPTAN VE PERAKENDE TİCARET,TOPTAN VE PERAKENDE TİCARET
DOCO,,
DOFER,İMALAT,İMALAT
DOFRB,TEKNOLOJİ,TEKNOLOJİ
DOGUB,İMALAT,İMALAT
DOHOL,MALİ KURULUŞLAR,MALİ KURULUŞLAR
DOKTA,İMALAT,İMALAT
DSTKF,MALİ KURULUŞLAR,MALİ KURULUŞLAR
DUNYH,MALİ KURULUŞLAR,MALİ KURULUŞLAR
DURDO,İMALAT,İMALAT
DURKN,İMALAT,İMALAT
DYOBY,İMALAT,İMALAT
DZGYO,MALİ KURULUŞLAR,MALİ KURULUŞLAR
EBEBK,TOPTAN VE PERAKENDE TİCARET,TOPTAN VE PERAKENDE TİCARET
ECILC,MALİ KURULUŞLAR,MALİ KURULUŞLAR
ECOGR,,
ECZYT,MALİ KURULUŞLAR,MALİ KURULUŞLAR
EDATA,TEKNOLOJİ,TEKNOLOJİ
EDIP,İNŞAAT VE BAYINDIRLIK,İNŞAAT VE BAYINDIRLIK
EFOR,İMALAT,İMALAT
EGEEN,İMALAT,İMALAT
EGEGY,MALİ KURULUŞLAR,MALİ KURULUŞLAR
EGEPO,EĞİTİM SAĞLIK SPOR VE EĞLENCE HİZMETLERİ,EĞİTİM SAĞLIK SPOR VE EĞLENCE HİZMETLERİ
EGGUB,İMALAT,İMALAT
EGPRO,İMALAT,İMALAT
EGSER,İMALAT,İMALAT
EKGYO,MALİ KURULUŞLAR,MALİ KURULUŞLAR
EKIZ,İMALAT,İMALAT
EKOS,İMALAT,İMALAT
EKSUN,İMALAT,İMALAT
ELITE,İMALAT,İMALAT
EMKEL,İMALAT,İMALAT
EMNIS,İMALAT,İMALAT
ENDAE,ELEKTRİK GAZ VE SU,ELEKTRİK GAZ VE SU
ENERY,ELEKTRİK GAZ VE SU,ELEKTRİK GAZ VE SU
ENJSA,ELEKTRİK GAZ VE SU,ELEKTRİK GAZ VE SU
ENKAI,İNŞAAT VE BAYINDIRLIK,İNŞAAT VE BAYINDIRLIK
ENSRI,İMALAT,İMALAT
ENTRA,ELEKTRİK GAZ VE SU,ELEKTRİK GAZ VE SU
EPLAS,İMALAT,İMALAT
ERBOS,İMALAT,İMALAT
ERCB,İMALAT,İMALAT
EREGL,İMALAT,İMALAT
ERSU,İMALAT,İMALAT
ESCAR,İDARİ VE DESTEK HİZMET FAALİYETLERİ,İDARİ VE DESTEK HİZMET FAALİYETLERİ
ESCOM,TEKNOLOJİ,TEKNOLOJİ
ESEN,ELEKTRİK GAZ VE SU,ELEKTRİK GAZ VE SU
ETILR,,
ETYAT,MALİ KURULUŞLAR,MALİ KURULUŞLAR
EUHOL,MALİ KURULUŞLAR,MALİ KURULUŞLAR
EUKYO,MALİ KURULUŞLAR,MALİ KURULUŞLAR
EUPWR,İMALAT,İMALAT
EUREN,İMALAT,İMALAT
EUYO,MALİ KURULUŞLAR,MALİ KURULUŞLAR
EYGYO,MALİ KURULUŞLAR,MALİ KURULUŞLAR
FADE,İMALAT,İMALAT
FENER,EĞİTİM SAĞLIK SPOR VE EĞLENCE HİZMETLERİ,EĞİTİM SAĞLIK SPOR VE EĞLENCE HİZMETLERİ
FLAP,İDARİ VE DESTEK HİZMET FAALİYETLERİ,İDARİ VE DESTEK HİZMET FAALİYETLERİ
FMIZP,İMALAT,İMALAT
FONET,TEKNOLOJİ,TEKNOLOJİ
FORMT,İMALAT,İMALAT
FORTE,TEKNOLOJİ,TEKNOLOJİ
FRIGO,İMALAT,İMALAT
FRMPL,İMALAT,İMALAT
FROTO,İMALAT,İMALAT
FZLGY,MALİ KURULUŞLAR,MALİ KURULUŞLAR
GARAN,MALİ KURULUŞLAR,MALİ KURULUŞLAR
GARFA,MALİ KURULUŞLAR,MALİ KURULUŞLAR
GATEG,EĞİTİM SAĞLIK SPOR VE EĞLENCE HİZMETLERİ,EĞİTİM SAĞLIK SPOR VE EĞLENCE HİZMETLERİ
GEDIK,MALİ KURULUŞLAR,MALİ KURULUŞLAR
GEDZA,İMALAT,İMALAT
GENIL,TOPTAN VE PERAKENDE TİCARET,TOPTAN VE PERAKENDE TİCARET
GENTS,İMALAT,İMALAT
GEREL,İMALAT,İMALAT
GESAN,İNŞAAT VE BAYINDIRLIK,İNŞAAT VE BAYINDIRLIK
GIPTA,İMALAT,İMALAT
GLBMD,MALİ KURULUŞLAR,MALİ KURULUŞLAR
GLCVY,MALİ KURULUŞLAR,MALİ KURULUŞLAR
GLRMK,İNŞAAT VE BAYINDIRLIK,İNŞAAT VE BAYINDIRLIK
GLRYH,MALİ KURULUŞLAR,MALİ KURULUŞLAR
GLYHO,MALİ KURULUŞLAR,MALİ KURULUŞLAR
GMTAS,TOPTAN VE PERAKENDE TİCARET,TOPTAN VE PERAKENDE TİCARET
GOKNR,İMALAT,İMALAT
GOLTS,İMALAT,İMALAT
GOODY,İMALAT,İMALAT
GOZDE,MALİ KURULUŞLAR,MALİ KURULUŞLAR
GRNYO,MALİ KURULUŞLAR,MALİ KURULUŞLAR
GRSEL,ULAŞTIRMA VE DEPOLAMA,ULAŞTIRMA VE DEPOLAMA
GRTHO,MALİ KURULUŞLAR,MALİ KURULUŞLAR
