Date,XAU_USD,USD_TRY,XAU_TRY
2020-04-21 00:00:00,1678.199951171875,6.940599918365479,11647.714444104466
2020-04-22 00:00:00,1728.699951171875,6.974699974060059,12057.1635045961
2020-04-23 00:00:00,1733.300048828125,6.980400085449219,12099.12780894898
2020-04-24 00:00:00,1723.5,6.955999851226807,11988.6657435894
2020-04-27 00:00:00,1711.9000244140625,6.965799808502197,11924.752862238383
2020-04-28 00:00:00,1710.5,6.985300064086914,11948.355759620668
2020-04-29 00:00:00,1703.4000244140625,6.987100124359131,11901.826522416844
2020-04-30 00:00:00,1684.199951171875,6.951000213623047,11706.874220379628
2020-05-01 00:00:00,1694.5,6.989299774169922,11843.368467330933
2020-05-04 00:00:00,1706.9000244140625,7.0167999267578125,11976.975966291502
2020-05-05 00:00:00,1704.4000244140625,7.0446600914001465,12006.91883177118
2020-05-06 00:00:00,1684.199951171875,7.083700180053711,11930.367497362662
2020-05-07 00:00:00,1721.800048828125,7.197080135345459,12391.93292845774
2020-05-08 00:00:00,1709.9000244140625,7.0883002281188965,12120.284733114706
2020-05-11 00:00:00,1695.300048828125,7.093999862670898,12026.458313572686
2020-05-12 00:00:00,1704.4000244140625,7.063399791717529,12038.85877744964
2020-05-13 00:00:00,1713.9000244140625,6.9920501708984375,11983.674958607182
2020-05-14 00:00:00,1738.0999755859375,6.969860076904297,12114.31362950476
2020-05-15 00:00:00,1753.4000244140625,6.925300121307373,12142.821401775058
2020-05-18 00:00:00,1731.800048828125,6.883339881896973,11920.568343569756
2020-05-19 00:00:00,1744.199951171875,6.876999855041504,11994.862811372384
2020-05-20 00:00:00,1750.5999755859375,6.779789924621582,11868.700076520328
2020-05-21 00:00:00,1720.5,6.78410005569458,11672.044145822523
2020-05-22 00:00:00,1734.5999755859375,6.789999961853027,11777.933768058778
2020-05-26 00:00:00,1704.800048828125,6.814000129699707,11616.50775382691
2020-05-27 00:00:00,1710.300048828125,6.72553014755249,11502.67453975405
2020-05-28 00:00:00,1713.300048828125,6.7754998207092285,11608.464173656072
2020-05-29 00:00:00,1736.9000244140625,6.811049938201904,11830.112803948286
2020-06-01 00:00:00,1737.800048828125,6.804100036621094,11824.165375871584
2020-06-02 00:00:00,1725.199951171875,6.804599761962891,11739.295177082531
