Date,ma_200,above_ma,realized_vol_20d,vol_percentile,high_vol,simplified_regime,regime_label
2013-11-04,737.4842980957031,1,0.21886515591749367,26.190476190476193,0,Bull,Bull
2013-11-05,737.9566174316407,1,0.20899975806322713,23.62204724409449,0,Bull,Bull
2013-11-06,738.6694763183593,1,0.20623286343524064,20.3125,0,Bull,Bull
2013-11-07,739.8898767089844,1,0.19926487026270318,15.503875968992247,0,Bull,Bull
2013-11-08,741.0135168457032,0,0.2177993870191997,27.692307692307693,0,Bear,Bear
2013-11-11,741.8550573730469,0,0.2320994038592056,32.82442748091603,0,Bear,Bear
2013-11-12,742.4809777832031,0,0.22991173334613607,31.818181818181817,0,Bear,Bear
2013-11-13,743.8423986816406,0,0.23052455218714601,32.33082706766917,0,Bear,Bear
2013-11-14,745.5468786621094,0,0.23887273540003726,38.059701492537314,0,Bear,Bear
2013-11-15,747.1226391601563,0,0.23774086119302648,37.03703703703704,0,Bear,Bear
2013-11-18,748.5330993652344,1,0.24710673407480896,41.17647058823529,0,Bull,Bull
2013-11-19,750.0620190429687,0,0.21324196236247986,24.817518248175183,0,Bear,Bear
2013-11-20,751.7451989746094,1,0.2165259861842133,26.811594202898554,0,Bull,Bull
2013-11-21,753.3380395507812,0,0.21642761443388037,26.618705035971225,0,Bear,Bear
2013-11-22,755.0191796875,1,0.2220264849110878,30.714285714285715,0,Bull,Bull
2013-11-25,756.3876196289062,1,0.2259840665239165,31.914893617021278,0,Bull,Bull
2013-11-26,757.1426599121094,0,0.2282794482246669,32.3943661971831,0,Bear,Bear
2013-11-27,757.7675402832032,0,0.2285269259327024,32.86713286713287,0,Bear,Bear
2013-11-28,758.13916015625,0,0.22267471201555805,30.555555555555557,0,Bear,Bear
2013-11-29,758.9618200683594,0,0.22582419386014244,31.724137931034484,0,Bear,Bear
2013-12-02,759.1003405761719,0,0.2284657521958428,33.56164383561644,0,Bear,Bear
2013-12-03,758.7611608886718,0,0.23496080931141924,40.816326530612244,0,Bear,Bear
2013-12-04,758.4468017578125,0,0.2285228609662629,33.78378378378378,0,Bear,Bear
2013-12-05,756.951982421875,0,0.2331138805124673,39.59731543624161,0,Bear,Bear
2013-12-06,756.0550817871094,0,0.2293497277986858,35.333333333333336,0,Bear,Bear
2013-12-09,755.5400817871093,0,0.21478216582206422,23.841059602649008,0,Bear,Bear
2013-12-10,755.0577416992187,0,0.2143616416215387,23.684210526315788,0,Bear,Bear
2013-12-11,754.6040417480468,0,0.21411376763347595,23.52941176470588,0,Bear,Bear
2013-12-12,754.0947619628906,0,0.20299864094555636,16.233766233766232,0,Bear,Bear
2013-12-13,753.9533020019531,0,0.2086104247639987,20.64516129032258,0,Bear,Bear
2013-12-16,754.0246618652344,0,0.20178846013200868,15.384615384615385,0,Bear,Bear
2013-12-17,752.9198815917969,0,0.2701834325961228,49.681528662420384,0,Bear,Bear
2013-12-18,752.17078125,0,0.26824993355888144,49.36708860759494,0,Bear,Bear
2013-12-19,750.7368017578125,0,0.28782806653388365,52.83018867924528,0,Bear,Bear
2013-12-20,749.4099621582031,0,0.28401535666292965,52.5,0,Bear,Bear
2013-12-23,747.8469421386719,0,0.2839128063002942,52.17391304347826,0,Bear,Bear
2013-12-24,746.6337231445312,0,0.2904003195071251,54.32098765432099,0,Bear,Bear
2013-12-25,744.9562634277344,0,0.319629078343151,61.34969325153374,0,Bear,Bear
2013-12-26,742.7393432617188,0,0.32533073199594786,64.02439024390245,0,Bear,Bear
2013-12-27,740.281103515625,0,0.31422811920005295,60.0,0,Bear,Bear
2013-12-30,738.6312438964844,0,0.40576018181945744,80.12048192771084,1,Stress,Stress
2013-12-31,736.4161840820312,0,0.3986102448784774,78.44311377245509,0,Bear,Bear
2014-01-02,733.9588635253906,0,0.3995152260494206,78.57142857142857,0,Bear,Bear
2014-01-03,731.4491638183594,0,0.39958903201553014,78.69822485207101,0,Bear,Bear
2014-01-06,729.2844030761719,0,0.41086332669873515,81.17647058823529,1,Stress,Stress
2014-01-07,727.1498229980468,0,0.4094693819576746,80.7017543859649,1,Stress,Stress
2014-01-08,724.7031237792969,0,0.41272346481143446,81.3953488372093,1,Stress,Stress
2014-01-09,722.2019641113282,0,0.41387001422040304,81.5028901734104,1,Stress,Stress
2014-01-10,720.2603039550781,0,0.42420250647697194,82.75862068965517,1,Stress,Stress
2014-01-13,718.5725231933594,0,0.42008948062027074,81.71428571428572,1,Stress,Stress
2014-01-14,716.9401831054688,0,0.41697899468521177,80.68181818181817,1,Stress,Stress
2014-01-15,715.6182434082032,0,0.3771555217421651,72.88135593220339,0,Bear,Bear
2014-01-16,713.8332434082031,0,0.3805230018028056,73.03370786516854,0,Bear,Bear
2014-01-17,711.7979431152344,0,0.3690383897908287,71.50837988826815,0,Bear,Bear
2014-01-20,710.1670031738281,0,0.3678363094478801,71.11111111111111,0,Bear,Bear
2014-01-21,709.0027429199218,0,0.36280438051118713,70.71823204419888,0,Bear,Bear
2014-01-22,708.0952819824219,0,0.36418334496687726,70.87912087912088,0,Bear,Bear
2014-01-23,706.7157421875,0,0.34694872763866585,62.295081967213115,0,Bear,Bear
2014-01-24,704.8062829589844,0,0.3410095855320069,60.32608695652174,0,Bear,Bear
2014-01-27,702.8653833007812,0,0.33879055150130233,60.0,0,Bear,Bear
2014-01-28,700.4545837402344,0,0.24659901617088548,40.86021505376344,0,Bear,Bear
2014-01-29,697.9487841796876,0,0.25622703930974805,41.711229946524064,0,Bear,Bear
2014-01-30,695.4127233886719,0,0.2591999672571994,42.02127659574468,0,Bear,Bear
2014-01-31,692.8485021972656,0,0.25818958008063564,41.7989417989418,0,Bear,Bear
2014-02-03,690.0559228515625,0,0.22437818575000085,26.842105263157894,0,Bear,Bear
2014-02-04,687.2961828613281,0,0.23311718914124,35.602094240837694,0,Bear,Bear
2014-02-05,684.6720422363281,0,0.22710426350215468,28.645833333333332,0,Bear,Bear
2014-02-06,682.602822265625,0,0.259489397110016,43.523316062176164,0,Bear,Bear
2014-02-07,680.6096020507813,0,0.24402109637787825,40.20618556701031,0,Bear,Bear
2014-02-10,678.2699829101563,0,0.24438482954654564,41.02564102564102,0,Bear,Bear
2014-02-11,676.1358825683594,0,0.24526462761819762,41.3265306122449,0,Bear,Bear
2014-02-12,674.421123046875,0,0.2459894850436021,41.62436548223351,0,Bear,Bear
2014-02-13,672.5563830566406,0,0.24084958443241325,38.38383838383838,0,Bear,Bear
2014-02-14,671.1345825195312,0,0.24295932911193077,39.698492462311556,0,Bear,Bear
2014-02-17,669.5787426757812,0,0.24627655971530524,42.5,0,Bear,Bear
2014-02-18,667.5573034667968,0,0.2564308850077816,44.27860696517413,0,Bear,Bear
2014-02-19,665.4101232910157,0,0.25018993931768796,43.56435643564357,0,Bear,Bear
2014-02-20,663.3531628417969,0,0.2318824670448843,31.527093596059114,0,Bear,Bear
2014-02-21,661.5159228515626,0,0.22624070141360814,26.96078431372549,0,Bear,Bear
2014-02-24,659.5401220703125,0,0.22678609116363874,27.31707317073171,0,Bear,Bear
2014-02-25,656.996201171875,0,0.24802965573597954,44.1747572815534,0,Bear,Bear
2014-02-26,655.1075817871093,0,0.23690855477215034,36.71497584541063,0,Bear,Bear
2014-02-27,653.1799621582031,0,0.23458458328682028,36.05769230769231,0,Bear,Bear
2014-02-28,651.8706225585937,0,0.2338911093113126,35.88516746411483,0,Bear,Bear
2014-03-03,650.1939025878906,0,0.24696479400483157,44.285714285714285,0,Bear,Bear
2014-03-04,649.182822265625,0,0.262849949956432,48.34123222748815,0,Bear,Bear
2014-03-05,648.0722021484376,0,0.2630330139845762,48.58490566037736,0,Bear,Bear
2014-03-06,647.6537219238281,0,0.2351837675347353,36.61971830985916,0,Bear,Bear
2014-03-07,647.3618823242188,0,0.24018097328131427,38.78504672897196,0,Bear,Bear
