Date,Open,High,Low,Close,Volume,Ticker
2019-02-27 00:00:00+03:00,1057.4209,1058.9073,1048.3928,1048.4585,0.0,XUTUM
2019-02-28 00:00:00+03:00,1049.663,1057.6335,1048.6374,1052.5397,0.0,XUTUM
2019-03-01 00:00:00+03:00,1054.4031,1055.6163,1038.0373,1040.8526,0.0,XUTUM
2019-03-04 00:00:00+03:00,1043.8835,1053.9299,1043.1699,1050.1276,0.0,XUTUM
2019-03-05 00:00:00+03:00,1047.8218,1056.1517,1043.2999,1045.7724,0.0,XUTUM
2019-03-06 00:00:00+03:00,1048.4653,1056.6857,1042.4744,1043.1162,0.0,XUTUM
2019-03-07 00:00:00+03:00,1046.9314,1050.0829,1031.2019,1031.414,0.0,XUTUM
2019-03-08 00:00:00+03:00,1031.8739,1033.1149,1017.6412,1023.9135,0.0,XUTUM
2019-03-11 00:00:00+03:00,1027.5512,1031.9082,1015.7802,1017.3791,0.0,XUTUM
2019-03-12 00:00:00+03:00,1023.2547,1029.0814,1018.0383,1026.0204,0.0,XUTUM
2019-03-13 00:00:00+03:00,1027.1711,1033.5129,1020.5096,1030.4686,0.0,XUTUM
2019-03-14 00:00:00+03:00,1031.546,1036.0774,1028.8575,1033.0734,0.0,XUTUM
2019-03-15 00:00:00+03:00,1037.5537,1042.6799,1035.4215,1042.0137,0.0,XUTUM
2019-03-18 00:00:00+03:00,1046.7925,1056.8875,1046.7925,1054.1646,0.0,XUTUM
2019-03-19 00:00:00+03:00,1054.7311,1066.856,1049.9032,1056.8699,0.0,XUTUM
2019-03-20 00:00:00+03:00,1056.5654,1059.5289,1040.9888,1042.025,0.0,XUTUM
2019-03-21 00:00:00+03:00,1047.2484,1051.2701,1034.8411,1043.1256,0.0,XUTUM
2019-03-22 00:00:00+03:00,1045.636,1046.5663,1006.3662,1008.0216,0.0,XUTUM
2019-03-25 00:00:00+03:00,1009.9968,1013.2581,993.42148,1002.4148,0.0,XUTUM
2019-03-26 00:00:00+03:00,1009.004,1011.6899,981.50773,983.58563,0.0,XUTUM
2019-03-27 00:00:00+03:00,987.93578,989.88492,917.5393,930.0643,0.0,XUTUM
2019-03-28 00:00:00+03:00,923.5318,947.64023,919.89422,932.41422,0.0,XUTUM
2019-03-29 00:00:00+03:00,936.06383,952.94891,930.43039,948.84719,0.0,XUTUM
2019-04-01 00:00:00+03:00,950.25156,962.07391,930.31,952.17703,0.0,XUTUM
2019-04-02 00:00:00+03:00,947.67508,964.24883,943.14633,946.7743,0.0,XUTUM
2019-04-03 00:00:00+03:00,952.815,959.77703,951.79938,955.62531,0.0,XUTUM
2019-04-04 00:00:00+03:00,955.97977,992.31977,954.33141,992.31977,0.0,XUTUM
2019-04-05 00:00:00+03:00,998.19922,1000.5852,983.82094,996.70078,0.0,XUTUM
2019-04-08 00:00:00+03:00,998.78328,999.52141,977.08688,979.3857,0.0,XUTUM
2019-04-09 00:00:00+03:00,988.85617,996.54039,984.62063,990.73883,0.0,XUTUM
2019-04-10 00:00:00+03:00,993.2857,993.81078,979.0782,979.83641,0.0,XUTUM
2019-04-11 00:00:00+03:00,982.03438,984.80633,969.9107,970.43344,0.0,XUTUM
